20170101,2017,01,01,1,1
20170102,2017,01,02,1,1
20170103,2017,01,03,1,1
20170104,2017,01,04,1,1
20170105,2017,01,05,1,1
20170106,2017,01,06,1,1
20170107,2017,01,07,1,1
20170108,2017,01,08,2,1
20170109,2017,01,09,2,1
20170110,2017,01,10,2,1
20170111,2017,01,11,2,1
20170112,2017,01,12,2,1
20170113,2017,01,13,2,1
20170114,2017,01,14,2,1
20170115,2017,01,15,3,1
20170116,2017,01,16,3,1
20170117,2017,01,17,3,1
20170118,2017,01,18,3,1
20170119,2017,01,19,3,1
20170120,2017,01,20,3,1
20170121,2017,01,21,3,1
20170122,2017,01,22,4,1
20170123,2017,01,23,4,1
20170124,2017,01,24,4,1
20170125,2017,01,25,4,1
20170126,2017,01,26,4,1
20170127,2017,01,27,4,1
20170128,2017,01,28,4,1
20170129,2017,01,29,5,1
20170130,2017,01,30,5,1
20170131,2017,01,31,5,1
20170201,2017,02,01,1,1
20170202,2017,02,02,1,1
20170203,2017,02,03,1,1
20170204,2017,02,04,1,1
20170205,2017,02,05,1,1
20170206,2017,02,06,1,1
20170207,2017,02,07,1,1
20170208,2017,02,08,2,1
20170209,2017,02,09,2,1
20170210,2017,02,10,2,1
20170211,2017,02,11,2,1
20170212,2017,02,12,2,1
20170213,2017,02,13,2,1
20170214,2017,02,14,2,1
20170215,2017,02,15,3,1
20170216,2017,02,16,3,1
20170217,2017,02,17,3,1
20170218,2017,02,18,3,1
20170219,2017,02,19,3,1
20170220,2017,02,20,3,1
20170221,2017,02,21,3,1
20170222,2017,02,22,4,1
20170223,2017,02,23,4,1
20170224,2017,02,24,4,1
20170225,2017,02,25,4,1
20170226,2017,02,26,4,1
20170227,2017,02,27,4,1
20170228,2017,02,28,4,1
20170301,2017,03,01,1,1
20170302,2017,03,02,1,1
20170303,2017,03,03,1,1
20170304,2017,03,04,1,1
20170305,2017,03,05,1,1
20170306,2017,03,06,1,1
20170307,2017,03,07,1,1
20170308,2017,03,08,2,1
20170309,2017,03,09,2,1
20170310,2017,03,10,2,1
20170311,2017,03,11,2,1
20170312,2017,03,12,2,1
20170313,2017,03,13,2,1
20170314,2017,03,14,2,1
20170315,2017,03,15,3,1
20170316,2017,03,16,3,1
20170317,2017,03,17,3,1
20170318,2017,03,18,3,1
20170319,2017,03,19,3,1
20170320,2017,03,20,3,1
20170321,2017,03,21,3,1
